HeightRank,Name,Classification(DoBIH codes),Completed,Completed Date,Height(ft),Height(m),URL,OS Grid Reference,Planned,Priority,Prom.(ft),Prom.(m),Section,Topo Map,X,Y,Latitude,Longitude
1,Scafell Pike,"Ma,F,Sim,Hew,N,W,B,Sy,Fel,CoH,CoU,CoA",,,"3,209",978,https://en.wikipedia.org/wiki/Scafell_Pike,NY2150007200,,,"2,992",912,Southern Fells,89 90,321500,507200,54.454098,-3.2122852
2,Scafell,"Hu,F,Sim,Hew,N,W,B,Sy,Fel",,,"3,162",964,https://en.wikipedia.org/wiki/Scafell,NY2060006400,,,434,132,Southern Fells,89 90,320600,506400,54.44677,-3.2259484
3,Helvellyn,"Ma,F,Sim,Hew,N,W,B,Sy,Fel,CoH",,,"3,117",950,https://en.wikipedia.org/wiki/Helvellyn,NY3420015100,,,"2,336",712,Eastern Fells,90,334200,515100,54.52689,-3.0182022
4,Skiddaw,"Ma,F,Sim,Hew,N,W,B,Sy,Fel",,,"3,054",931,https://en.wikipedia.org/wiki/Skiddaw,NY2600029000,,,"2,326",709,Northern Fells,89 90,326000,529000,54.650648,-3.1483845
5,Great End,"Sim,Hew,N,W,B,Sy,Fel",,,"2,984",910,https://en.wikipedia.org/wiki/Great_End,NY2260008300,,,184,56,Southern Fells,89 90,322600,508300,54.464151,-3.1956112
6,Bowfell,"Hu,Sim,Hew,N,sMa,W,B,Sy,Fel",,,"2,962",903,https://en.wikipedia.org/wiki/Bowfell,NY2440006400,,,486,148,Southern Fells,89 90,324400,506400,54.447351,-3.1673618
7,Great Gable,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,949",899,https://en.wikipedia.org/wiki/Great_Gable,NY2110010300,,,"1,394",425,Western Fells,89 90,321100,510300,54.481889,-3.2192814
8,Pillar,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,927",892,https://en.wikipedia.org/wiki/Pillar_(Lake_District),NY1710012100,,,"1,142",348,Western Fells,89 90,317100,512100,54.497423,-3.281508
9,Nethermost Pike,"N,sSim,W,B,Sy,Fel",,,"2,923",891,https://en.wikipedia.org/wiki/Nethermost_Pike,NY3430014200,,,95,29,Eastern Fells,90,334300,514200,54.518816,-3.0164565
10,Catstye,"Sim,Hew,N,W,B,Sy,Fel",,,"2,920",890,https://en.wikipedia.org/wiki/Catstye_Cam,NY3480015800,,,207,63,Eastern Fells,90,334800,515800,54.533258,-3.0090883
